Pais,Ref,P10,P25,Intervalo,P75,P90
Uruguay,38.13,5.61,5.81,0.92,6,6.13
República Dominicana,39.94,6.05,5.93,0.9,6.84,7.46
Perú,36.91,4.75,5.87,0.85,5.57,6.88
Paraguay,38.22,4.79,6.3,0.92,6.23,6.76
Panamá,37.22,5.27,6.25,1.07,6.14,7.48
Nicaragua,38.31,4.99,6.73,1.08,7.35,8.42
México,35.38,5.27,6.59,1.04,6.55,6.6
Honduras,37.07,6.89,6.76,1.52,7.56,7.84
Guatemala,35.89,5.31,6.78,1.16,6.48,7.82
El Salvador,38.07,5.38,6.7,0.91,6.94,7.32
Ecuador,37.65,5.64,6.49,0.95,6.63,6.56
Cuba,43.75,7.13,5.65,0.96,10.13,0
Costa Rica,41.15,5.66,5.64,0.84,6.21,5.83
Colombia,37.63,4.61,6.16,0.98,5.9,6.39
Brasil,32.65,4.95,5.48,0.72,4.98,5.6
Argentina,36.83,5.38,6.4,0.81,6.1,6.6
Promedio Regional,37.23,5.59,6.69,0.98,6.81,7.44
